date,startup,vertical,subvertical,city,investors,round,amount
2017-06-09,Power2SME,eCommerce,Buying Club for Small Businesses,Gurugram,eCommerce,Private Equity,214.5
2017-07-09,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Consumer Internet,Private Equity,41.25
2017-07-09,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,Consumer Internet,Private Equity,0.0
2017-07-09,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurugram,Consumer Internet,Private Equity,2062.5
2017-07-09,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,Consumer Internet,Debt Funding,6.435
2017-07-09,MamaEarth,eCommerce,online babycare products marketplace,Gurugram,eCommerce,Seed Funding,0.0
2017-07-09,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,eCommerce,Private Equity,8.25
2017-08-09,AYE Finance,Consumer Internet,Micro Lending Platform,Delhi,Consumer Internet,Debt Funding,56.925
2017-08-09,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,Technology,Seed Funding,0.0
2017-11-09,Ecom Express,Logistics,Logistics Solutions provider,Delhi,Logistics,Private Equity,247.5
2017-11-09,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,Consumer Internet,Private Equity,51.15
2017-12-09,Sattviko,eCommerce,Health Food etailer,Delhi,eCommerce,Seed Funding,0.0
2017-12-09,3HCare,Consumer Internet,Healthcare services portal,Delhi,Consumer Internet,Seed Funding,0.825
2017-12-09,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,Technology,Private Equity,140.25
2017-12-09,Get My Parking,Consumer Internet,Smart Parking Enabler,Delhi,Consumer Internet,Private Equity,24.75
2017-09-13,WittyFeed,Technology,Content marketing platform,Indore,Technology,Seed Funding,0.0
2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,Consumer Internet,Private Equity,16.5
2017-09-13,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurugram,Consumer Internet,Private Equity,82.5
2017-09-13,Unacademy,Consumer Internet,Online learning platform,Mumbai,Consumer Internet,Private Equity,94.875
2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,Technology,Seed Funding,6.435
2017-09-14,Gurukul,Consumer Internet,co-working space provider,Delhi,Consumer Internet,Seed Funding,0.0
2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,Technology,Private Equity,363.0
2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Consumer Portal,Seed Funding,0.99
2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,Delhi,Consumer Internet,Private Equity,0.0
2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,eCommerce,Private Equity,8.25
2017-09-19,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,Technology,Seed Funding,0.0
2017-09-19,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Technology,Private Equity,412.5
2017-09-20,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Healthcare,Seed Funding,0.0
2017-09-21,SaveBC,Finance,financial services firm,Gaya,Finance,Private Equity,49.5
2017-09-21,Gaming Monk,Consumer Internet,E-sports platform,Delhi,Consumer Internet,Private Equity,0.0
2017-09-21,91SpringBoard,Consumer Internet,Co-working spaces,Delhi,Consumer Internet,Private Equity,0.0
2017-09-21,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,eCommerce,Private Equity,8.25
2017-09-22,Yatra.com,eCommerce,Online Travel Agency,Gurugram,eCommerce,Debt Funding,127.05
2017-09-22,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bangalore,Technology,Private Equity,0.0
2017-09-25,Vogo,Consumer Internet,Scooter Rental Platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-09-25,Synup,Technology,SME Marketing Management Solution,Bangalore,Technology,Private Equity,49.5
2017-09-25,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Consumer Internet,Private Equity,0.0
2017-09-25,Cropin,Technology,Crop Technology Solutions,Bangalore,Technology,Private Equity,0.0
2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Consumer Internet,Seed Funding,3.4815
2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Consumer Internet,Seed Funding,1.2375
2017-09-26,Credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Consumer Internet,Private Equity,0.0
2017-09-26,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurugram,Consumer Internet,Seed Funding,0.0
2017-09-26,Multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,Consumer Internet,Seed Funding,0.0
2017-09-27,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,Technology,Private Equity,13.2
2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurugram,Consumer Internet,Private Equity,0.0
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,Consumer Internet,Private Equity,8.25
2017-09-27,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurugram,Consumer Internet,Seed Funding,0.0
2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,Delhi,Consumer Internet,Seed Funding,2.475
2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Technology,Private Equity,8.25
2017-01-08,TouchKin,Technology,Predictive Care Platform,Bangalore,Technology,Private Equity,10.725
2017-02-08,Ethinos,Technology,Digital Marketing Agency,Mumbai,Technology,Private Equity,0.0
2017-02-08,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,Delhi,Consumer Internet,Seed Funding,0.0
2017-02-08,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,Consumer Internet,Seed Funding,4.125
2017-02-08,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,Consumer Internet,Seed Funding,7.0125
2017-03-08,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Logistics,Seed Funding,2.475
2017-03-08,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Consumer Internet,Seed Funding,0.0
2017-03-08,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,Consumer Internet,Private Equity,0.0
2017-03-08,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,Consumer Internet,Private Equity,0.0
2017-04-08,Lime Tray,Technology,Restaurant Management Solutions,Delhi,Technology,Private Equity,0.0
2017-04-08,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,eCommerce,Seed Funding,0.0
2017-04-08,Box My Space,Logistics,Warehouse Aggregator,Mumbai,Logistics,Seed Funding,0.0
2017-05-08,Curatio,Healthcare,Skincare Speciality services,Chennai,Healthcare,Private Equity,0.0
2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Technology,Seed Funding,2.00475
2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,Delhi,Consumer Internet,Seed Funding,1.815
2017-09-08,TruxApp,Logistics,Mobile based Logistics Service,Delhi,Logistics,Seed Funding,25.575
2017-09-08,CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Technology,Seed Funding,6.45975
2017-09-08,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Consumer Internet,Seed Funding,0.0
2017-10-08,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,Consumer Internet,Private Equity,0.0
2017-11-08,Flipkart,eCommerce,Online Marketplace,Bangalore,eCommerce,Private Equity,20625.0
2017-11-08,Moong Labs,Technology,Mobile games developer,Delhi,Technology,Private Equity,0.0
2017-11-08,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurugram,Consumer Internet,Private Equity,297.0
2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,Delhi,Consumer Internet,Private Equity,0.0
2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,Technology,Seed Funding,2.574
2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,Consumer Internet,Seed Funding,3.17625
2017-08-17,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,Consumer Internet,Seed Funding,0.0
2017-08-20,Rootefy,eCommerce,Building material online store,Delhi,eCommerce,Seed Funding,1.54275
2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,Technology,Private Equity,56.1
2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Consumer Internet,Seed Funding,6.0555
2017-08-22,Flochat,Consumer Internet,instant messaging platform,Mumbai,Consumer Internet,Seed Funding,0.0
2017-08-22,EasyGov,Consumer Internet,Govt service application portal,Noida,Consumer Internet,Seed Funding,0.0
2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,Gurugram,Consumer Internet,Seed Funding,0.0
2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,Pune,Technology,Private Equity,660.0
2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,Delhi,eCommerce,Private Equity,18.975
2017-08-23,Awign,Technology,Operations and manpower outsourcing,Bangalore,Technology,Seed Funding,0.0
2017-08-23,Indiez,Technology,Software & Mobile app development platform,Bangalore,Technology,Seed Funding,4.125
2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,Technology,Private Equity,132.0
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,Consumer Internet,Seed Funding,6.1875
2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,Consumer Internet,Seed Funding,1.03125
2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,Technology,Private Equity,57.75
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Consumer Internet,Private Equity,206.25
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Technology,Seed Funding,6.1875
2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurugram,Technology,Debt Funding,0.0
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Consumer Internet,Private Equity,280.5
2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Technology,Private Equity,247.5
2017-01-07,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Consumer Internet,Seed Funding,8.25
2017-03-07,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,Technology,Private Equity,21.45
2017-04-07,Droom,eCommerce,Online marketplace for automobiles,Gurugram,eCommerce,Private Equity,165.0
2017-05-07,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,eCommerce,Private Equity,70.125
2017-05-07,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,eCommerce,Private Equity,99.0
2017-05-07,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,Consumer Internet,Private Equity,8.25
2017-06-07,Minjar,Technology,Cloud Solutions provider,Bangalore,Technology,Seed Funding,0.0
2017-06-07,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurugram,Consumer Internet,Seed Funding,0.0
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,Consumer Internet,Seed Funding,8.25
2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-10-07,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Technology,Private Equity,24.75
2017-11-07,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Consumer Internet,Private Equity,18.5625
2017-11-07,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Consumer Internet,Seed Funding,3.828
2017-11-07,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-12-07,Innoviti,Technology,Digital payments solutions,Bangalore,Technology,Private Equity,152.625
2017-12-07,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,Logistics,Private Equity,0.0
2017-12-07,Bottr.me,Technology,Chatbot creation tool,Bangalore,Technology,Seed Funding,0.0
2017-12-07,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Technology,Seed Funding,0.0
2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Technology,Seed Funding,4.455
2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,eCommerce,Private Equity,14.025
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Technology,Seed Funding,16.5
2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,Technology,Private Equity,33.0
2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,Technology,Private Equity,0.0
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,Consumer Internet,Seed Funding,0.0
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Consumer Internet,Seed Funding,0.0
2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Technology,Seed Funding,0.0
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,Consumer Internet,Private Equity,82.5
2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,Technology,Seed Funding,4.95
2017-07-20,Trupay,Technology,Online payments platform,Gurugram,Technology,Seed Funding,5.775
2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurugram,eCommerce,Seed Funding,1.65
2017-07-21,FableStreet,eCommerce,Women Work wear etailer,Delhi,eCommerce,Seed Funding,0.0
2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,Delhi,Technology,Seed Funding,0.0
2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,Consumer Internet,Private Equity,9.9
2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Bangalore,Consumer Internet,Private Equity,288.75
2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,Co-Working Space Provider,Delhi,Others,Seed Funding,0.0
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,Delhi,Consumer Internet,Private Equity,206.25
2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,Consumer Internet,Seed Funding,1.65
2017-07-27,1mg,eCommerce,Online Pharmacy,Gurugram,eCommerce,Private Equity,123.75
2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Consumer Internet,Seed Funding,0.0
2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Consumer Internet,Private Equity,10.3125
2017-07-28,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,Consumer Internet,Seed Funding,0.0
2017-01-06,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,Technology,Seed Funding,0.0
2017-02-06,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,eCommerce,Seed Funding,1.9305
2017-05-06,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Consumer Internet,Private Equity,412.5
2017-05-06,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,Consumer Internet,Private Equity,0.0
2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurugram,eCommerce,Private Equity,8.25
2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,Consumer Internet,Seed Funding,0.0
2017-06-06,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,Consumer Internet,Private Equity,0.0
2017-06-06,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Consumer Internet,Private Equity,9.9
2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,Delhi,Consumer Internet,Seed Funding,8.25
2017-06-06,GyanDhan,Consumer Internet,Education Marketplace,Delhi,Consumer Internet,Private Equity,0.0
2017-06-06,Hungry Foal,Consumer Internet,For profit Social Venture,Gurugram,Consumer Internet,Private Equity,0.0
2017-07-06,ZipLoan,Consumer Internet,Online lending platform,Delhi,Consumer Internet,Seed Funding,5.3625
2017-07-06,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,Consumer Internet,Seed Funding,4.95
2017-08-06,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Consumer Internet,Seed Funding,1.914
2017-08-06,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Technology,Private Equity,12.375
2017-08-06,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Technology,Private Equity,12.375
2017-08-06,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Consumer Internet,Seed Funding,2.8875
2017-09-06,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Consumer Internet,Seed Funding,2.475
2017-09-06,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,Consumer Internet,Seed Funding,2.0625
2017-12-06,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,Consumer Internet,Seed Funding,0.0
2017-12-06,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Consumer Internet,Debt Funding,64.35
2017-12-06,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Technology,Private Equity,4.125
2017-12-06,PeeSafe.in,Healthcare,Hygiene care product manufacturer,Delhi,Healthcare,Private Equity,8.25
2017-12-06,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Consumer Internet,Seed Funding,6.402
2017-12-06,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Consumer Internet,Private Equity,123.75
2017-06-13,HyperTrack,Technology,Location tracking solutions,Delhi,Technology,Private Equity,0.0
2017-06-13,Goodera,Technology,CSR and sustainability management platform,Bangalore,Technology,Private Equity,45.375
2017-06-13,Digit,Technology,Tech driven Insurance platform,Bangalore,Technology,Private Equity,0.0
2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Consumer Internet,Private Equity,412.5
2017-06-14,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,Consumer Internet,Seed Funding,0.0
2017-06-14,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,Consumer Internet,Seed Funding,4.125
2017-06-15,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,Consumer Internet,Private Equity,101.475
2017-06-16,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,eCommerce,Private Equity,8.25
2017-06-16,Fincash,Consumer Internet,Personal Finance platform,Mumbai,Consumer Internet,Seed Funding,0.825
2017-06-16,PortDesk,Technology,Maritime Solutions,Noida,Technology,Seed Funding,16.5
2017-06-16,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,eCommerce,Seed Funding,0.0
2017-06-16,EazyDiner,Consumer Internet,Online Restaurant Reservation Platform,Gurugram,Consumer Internet,Seed Funding,0.0
2017-06-16,HealthIntel,Healthcare,Online Pharmacy,Delhi,Healthcare,Seed Funding,0.0
2017-06-19,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Technology,Private Equity,103.125
2017-06-19,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,Technology,Private Equity,33.0
2017-06-20,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,Consumer Internet,Seed Funding,2.475
2017-06-20,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Consumer Internet,Private Equity,42.9
2017-06-21,Fynd,eCommerce,Fashion etailer,Mumbai,eCommerce,Private Equity,19.8
2017-06-21,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,Consumer Internet,Private Equity,37.125
2017-06-21,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,Technology,Seed Funding,1.77375
2017-06-21,mSwipe,Technology,Point-of-Sale services,Mumbai,Technology,Private Equity,255.75
2017-06-21,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Consumer Internet,Private Equity,0.0
2017-06-22,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,Technology,Private Equity,37.95
2017-06-22,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,Consumer Internet,Private Equity,16.5
2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,Consumer Internet,Seed Funding,4.125
2017-06-23,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,Consumer Internet,Private Equity,33.0
2017-06-23,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Consumer Internet,Seed Funding,8.25
2017-06-26,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,Technology,Private Equity,41.25
2017-06-26,Flipkart,eCommerce,Online marketplace,Bangalore,eCommerce,Private Equity,585.75
2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,Consumer Internet,Private Equity,33.0
2017-06-27,Stashfin,Consumer Internet,Personal Finance App,Delhi,Consumer Internet,Private Equity,41.25
2017-06-27,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Consumer Internet,Private Equity,0.0
2017-06-27,Spares Hub,eCommerce,Automobile parts marketplace,Pune,eCommerce,Seed Funding,2.56575
2017-06-28,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,Delhi,Consumer Internet,Seed Funding,0.0
2017-06-28,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,Consumer Internet,Private Equity,24.75
2017-06-28,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,Consumer Internet,Private Equity,16.5
2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,Delhi,Consumer Internet,Private Equity,8.25
2017-06-29,ZingHR,Technology,"digital employee solutions,",Mumbai,Technology,Private Equity,0.0
2017-06-30,Tagos Design,Technology,in-video discovery platform,Bangalore,Technology,Private Equity,41.25
2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurugram,Consumer Internet,Private Equity,173.25
2017-01-05,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Consumer Internet,Private Equity,608.025
2017-01-05,Power2SME,eCommerce,Buying portal for SMEs,Gurugram,eCommerce,Private Equity,82.5
2017-02-05,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Technology,Seed Funding,12.375
2017-02-05,4tigo,Logistics,Truck Network company,Bangalore,Logistics,Private Equity,82.5
2017-02-05,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Consumer Internet,Private Equity,0.0
2017-02-05,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,Consumer Internet,Seed Funding,3.2175
2017-03-05,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Consumer Internet,Private Equity,862.125
2017-03-05,Sumeru,Technology,Software & Mobile development services,Bangalore,Technology,Seed Funding,8.25
2017-04-05,Healthians,Consumer Internet,Online Diagnostics and wellness platform,Delhi,Consumer Internet,Private Equity,0.0
2017-05-05,HealthMir,Consumer Internet,AI-based health content platform,Delhi,Consumer Internet,Seed Funding,0.0
2017-05-05,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Consumer Internet,Seed Funding,0.0
2017-05-05,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,Consumer Internet,Seed Funding,0.0
2017-05-05,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Technology,Private Equity,0.0
2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Consumer Internet,Seed Funding,1.92225
2017-08-05,YepMe,eCommerce,Private Label Fashion etailer,Gurugram,eCommerce,Private Equity,5.775
2017-08-05,Nightstay,Consumer Internet,Last minute hotel booking mobile app,Delhi,Consumer Internet,Seed Funding,0.0
2017-08-05,Devourin,Technology,Restaurant Automation Solution,Pune,Technology,Seed Funding,0.0
2017-08-05,MyGreens,Food & Beverage,Cold-press Juices manufacturer,Delhi,Food & Beverage,Seed Funding,8.25
2017-08-05,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,Technology,Private Equity,41.25
2017-08-05,CureFit,Technology,Health-Tech Platform,Bangalore,Technology,Private Equity,26.4
2017-09-05,Curie Labs,Technology,Energy Analytics startup,Delhi,Technology,Seed Funding,0.4125
2017-09-05,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Technology,Seed Funding,0.0
2017-09-05,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Technology,Private Equity,0.0
2017-09-05,Sequretek,Technology,IT Security & Data Management Services,Mumbai,Technology,Private Equity,0.0
2017-10-05,Lucideus,Technology,Cyber Security Startup,Delhi,Technology,Seed Funding,0.0
2017-10-05,Vidooly,Consumer Internet,Video Intelligence platform,Noida,Consumer Internet,Private Equity,11.55
2017-10-05,Shopclues,eCommerce,Online marketplace,Gurugram,eCommerce,Private Equity,63.525
2017-10-05,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,Consumer Internet,Seed Funding,4.95
2017-10-05,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,Technology,Seed Funding,0.0
2017-11-05,Early Salary,Consumer Internet,Online lending platform,Pune,Consumer Internet,Private Equity,33.0
2017-11-05,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,eCommerce,Seed Funding,0.0
2017-11-05,ION Energy,Technology,Clean Tech Startup,Mumbai,Technology,Seed Funding,0.0
2017-12-05,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,Delhi,Consumer Internet,Private Equity,41.25
2017-12-05,Log 9 Materials,Technology,NanoTech product developer,Bangalore,Technology,Seed Funding,0.0
2017-12-05,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,Consumer Internet,Private Equity,3.8445
2017-12-05,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,eCommerce,Seed Funding,8.25
2017-05-15,Zapty,Technology,Project Management tool,Bangalore,Technology,Seed Funding,4.125
2017-05-15,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Technology,Seed Funding,0.0
2017-05-16,Niki.ai,Technology,AI-based chatbot,Bangalore,Technology,Private Equity,0.0
2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Technology,Private Equity,24.75
2017-05-16,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,eCommerce,Private Equity,4.125
2017-05-17,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,Consumer Internet,Seed Funding,2.0625
2017-05-17,Paysense,Consumer Internet,Online Lending platform,Mumbai,Consumer Internet,Private Equity,43.725
2017-05-18,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,ECommerce,Seed Funding,8.25
2017-05-18,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,eCommerce,Seed Funding,0.0
2017-05-18,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,ECommerce,Private Equity,11550.0
2017-05-19,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,Consumer Internet,Seed Funding,8.25
2017-05-19,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,Food & Beverage,Seed Funding,0.0
2017-05-20,YepMe,eCommerce,Private Fashion Brand etailer,Delhi,eCommerce,Private Equity,0.0
2017-05-22,Delhivery,Logistics,ECommerce Logistics provider,Delhi,Logistics,Private Equity,247.5
2017-05-22,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,Consumer Internet,Seed Funding,4.125
2017-05-23,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,ECommerce,Seed Funding,0.0
2017-05-23,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurugram,Consumer Internet,Private Equity,54.45
2017-05-23,The Print,Consumer Internet,News Portal,Delhi,Consumer Internet,Seed Funding,0.0
